epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3956,0.83923,2.09357,2.69949,1.20968,0.28376,0.03926,0.16146,0.14532,0.28376,0.03926,0.16146,0.14932,0.83308,1.50077,2.30997,1.19313,0.000179165,0.000179165,0.000179165
2,99.3068,0.78778,1.50412,1.58632,1.16462,0.4865,0.23001,0.37173,0.29563,0.449,0.22655,0.35203,0.29397,1.012,1.90932,1.78952,1.41061,0.000357356,0.000357356,0.000357356
3,148.173,0.82745,1.57178,1.43912,1.17834,0.60319,0.26707,0.44136,0.35188,0.60277,0.26663,0.44253,0.34528,0.93397,1.70328,1.37653,1.31667,0.00053191,0.00053191,0.00053191
4,195.499,0.81066,1.56536,1.30475,1.16872,0.643,0.58138,0.62284,0.42226,0.6255,0.55783,0.59504,0.40952,1.21926,1.81365,1.51286,1.58661,0.000702828,0.000702828,0.000702828
5,242.465,0.86371,1.61722,1.28657,1.18948,0.57557,0.71756,0.72101,0.53922,0.5692,0.71039,0.71505,0.53881,0.97127,1.68104,1.21578,1.31997,0.000870111,0.000870111,0.000870111
6,289.772,0.86654,1.61302,1.20055,1.18857,0.84104,0.41212,0.63399,0.49456,0.84063,0.40877,0.6312,0.47859,0.93095,2.04117,1.31329,1.28893,0.00086355,0.00086355,0.00086355
7,336.095,0.84638,1.68206,1.15334,1.17517,0.80104,0.74152,0.79922,0.61783,0.78943,0.73098,0.78135,0.59276,0.92742,1.52066,1.00588,1.28831,0.00085446,0.00085446,0.00085446
8,383.314,0.8314,1.57888,1.08401,1.17094,0.91579,0.44328,0.69063,0.53204,0.91034,0.4429,0.68821,0.49139,0.99372,1.59508,1.22116,1.36381,0.00084537,0.00084537,0.00084537
9,429.998,0.81835,1.55361,1.05682,1.16833,0.75966,0.69765,0.77173,0.58651,0.74926,0.69018,0.76143,0.56975,0.90207,1.70612,1.10966,1.27029,0.00083628,0.00083628,0.00083628
10,476.664,0.77844,1.51265,0.98026,1.1431,0.83993,0.63193,0.76735,0.61578,0.8368,0.62951,0.76631,0.59042,0.82105,1.39969,0.92407,1.22737,0.00082719,0.00082719,0.00082719
11,522.768,0.77284,1.46614,0.95157,1.12962,0.79451,0.72761,0.80682,0.6575,0.79203,0.72503,0.80445,0.63144,0.80579,1.35397,0.8724,1.18466,0.0008181,0.0008181,0.0008181
12,568.62,0.76078,1.42315,0.94515,1.12723,0.81018,0.74491,0.8208,0.6394,0.80995,0.73765,0.81496,0.61766,0.80266,1.36875,0.89642,1.19865,0.00080901,0.00080901,0.00080901
